City,Pollutant,Period,Mean,Median,SD,Q25,Q75,n
Edinburgh,NO2,Pandemic,13.767955801104973,11,9.00929843881678,7.5,17,543
Edinburgh,NO2,Post-Pandemic,12.074291300097752,10,7.985821208428527,7,15,1023
Edinburgh,O3,Pandemic,53.86908077994429,55,15.089121280669534,45,65,718
Edinburgh,O3,Post-Pandemic,54.51736526946108,55,15.30491442380177,45,65,835
Edinburgh,PM10,Pandemic,8.246196403872752,7,4.279400027865028,5,10,723
Edinburgh,PM10,Post-Pandemic,9.011583011583012,8,5.444658864305272,6,10,1036
Edinburgh,PM2.5,Pandemic,4.625172890733057,4,2.9748302061438654,3,6,723
Edinburgh,PM2.5,Post-Pandemic,5.053088803088803,4,3.7530123316062416,3,6,1036
London,NO2,Pandemic,20.042582417582416,17,11.371292793120341,12,25,728
London,NO2,Post-Pandemic,17.45,14,11.257179770508339,10,21,1080
London,O3,Pandemic,52.96577380952381,53,18.676084821470123,41.75,65,672
London,O3,Post-Pandemic,53.64628410159925,55,20.07159977518059,42,66,1063
London,PM10,Pandemic,13.455418381344307,11,7.7983515707933195,9,16,729
London,PM10,Post-Pandemic,12.973345588235293,11,7.5715675863631775,8,15,1088
London,PM2.5,Pandemic,8.329218106995885,6,6.091449111042375,5,10,729
London,PM2.5,Post-Pandemic,7.90625,6,5.902959317397664,4,9,1088
Manchester,NO2,Pandemic,28.29172510518934,26,12.611598526158405,19,36,713
Manchester,NO2,Post-Pandemic,27.637404580152673,25,12.572928185283645,19,34,1048
Manchester,O3,Pandemic,35.63397790055249,36,16.454304222490254,25,46,724
Manchester,O3,Post-Pandemic,40.32309124767225,41,16.992100772551517,29,51,1074
Manchester,PM10,Pandemic,14.86938202247191,13,7.341465813628239,10,18,712
Manchester,PM10,Post-Pandemic,15.592592592592593,14,7.212582296048731,11,18,945
Manchester,PM2.5,Pandemic,8.542134831460674,7,5.2223063642786816,5,10,712
Manchester,PM2.5,Post-Pandemic,8.923809523809524,7,5.175982904867151,6,10,945
Sheffield,NO2,Pandemic,18.593360995850624,16,10.673017522019544,11,24,482
Sheffield,NO2,Post-Pandemic,16.57922350472193,14,8.934417249115674,10,21,953
Sheffield,O3,Pandemic,48.86138613861386,50,16.38153523511968,38.5,60.5,707
Sheffield,O3,Post-Pandemic,50.67465437788018,51,16.73452782669606,41,62,1085
Sheffield,PM10,Pandemic,13.279229711141678,11,8.60363146217731,8,16,727
Sheffield,PM10,Post-Pandemic,12.125345622119816,10,7.755426203930052,7,14,1085
Sheffield,PM2.5,Pandemic,7.782668500687758,6,6.022874397643665,4,10,727
Sheffield,PM2.5,Post-Pandemic,7.541013824884793,6,5.773350220794589,4,9,1085
